"Neighborhood","Class","Units","YearBuilt","SqFt","IncomePerSqFt","ExpensePerSqFt","NetIncome","Value","ValuePerSqFt","Boro"
"FASHION","RR-CONDOMINIUM",299,2001,211923,48.36,11.56,7798766,54694000,258.08,"Manhattan"
"FASHION","RR-CONDOMINIUM",75,1984,48861,12.53,7.18,261000,1562000,31.97,"Manhattan"
"FLATIRON","R9-CONDOMINIUM",153,1961,158565,41.77,8.81,5226302,37650000,237.44,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",36,1900,92152,45.92,12.59,3071426,23099000,250.66,"Manhattan"
"FLATIRON","R9-CONDOMINIUM",17,1907,46424,41.94,17.45,1136924,8327000,179.37,"Manhattan"
"FLATIRON","R2-CONDOMINIUM",2,1910,3278,47.94,12.51,116139,821000,250.46,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",3,1910,6202,41.94,17.45,151887,1077000,173.65,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",14,1903,36638,41.94,17.45,897265,6772000,184.84,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",1,1920,1800,36.21,9.96,47250,328000,182.22,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",22,1910,45692,45.13,12.24,1502810,11308000,247.48,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",51,2007,84733,46.11,12.26,2868212,21567006,254.53,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",2,1907,2850,42.44,13.65,82051,582000,204.21,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",15,1908,29631,34.22,9.41,735000,5420000,182.92,"Manhattan"
"FLATIRON","R9-CONDOMINIUM",11,1906,21375,41.94,17.45,523474,3951000,184.84,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",109,1913,191318,45.62,12.25,6384281,36300053,189.74,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",43,1900,78900,45.73,12.92,2588709,19470002,246.77,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",124,1913,138922,45.13,12.24,4569145,34380003,247.48,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",259,1986,282900,43.96,8.64,9992028,75246997,265.98,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",43,1913,60609,45.13,12.24,1993430,14999000,247.47,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",423,1985,380448,43.96,8.64,13437423,101192989,265.98,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",10,1902,27065,41.94,17.45,662822,4697997,173.58,"Manhattan"
"FLATIRON","R9-CONDOMINIUM",20,1907,56554,39.98,11.39,1616879,12220000,216.08,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",78,2008,215976,30.31,7.66,4891850,36960998,171.13,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",119,1987,123200,42.37,11.89,3755136,28331998,229.97,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",9,1910,26794,36.77,9.95,718615,4973000,185.6,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",190,1910,301945,42.07,10.17,9632045,72689001,240.74,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",72,1912,180112,44.48,16.51,5037733,37922995,210.55,"Manhattan"
"FLATIRON","R4-CONDOMINIUM",31,1911,61182,39.24,8.96,1852591,14008998,228.97,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",22,1913,42940,44.48,16.51,1201032,9041002,210.55,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",139,2005,238818,42.07,10.17,7618294,57491997,240.74,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",142,2008,161752,45.15,12.5,5281203,39737997,245.67,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",40,1922,40299,37.78,8.9,1163835,8809998,218.62,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",18,1920,32085,37.78,8.9,926614,7013997,218.61,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",250,2005,392410,44.89,11.14,13243838,99668024,253.99,"Manhattan"
"MURRAY HILL","R9-CONDOMINIUM",169,1938,182166,33.15,10.3,4162493,30934000,169.81,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",40,1985,86314,43.28,12.94,2618767,19731999,228.61,"Manhattan"
"MURRAY HILL","RR-CONDOMINIUM",182,2005,92176,8.75,4.23,417000,2280000,24.74,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",67,1912,72464,39.71,16.09,1711599,12939008,178.56,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",101,1952,87697,35.59,11.08,2149453,15884007,181.12,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",17,1998,30371,46.15,12.32,1027451,7725000,254.35,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",113,1961,88230,39.71,16.09,2083992,15754000,178.56,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",224,1956,212756,39.37,12.15,5791219,43789993,205.82,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",172,2003,162488,45.15,12.5,5305233,39489994,243.03,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",174,1986,134519,40.99,11.42,3977727,30042971,223.34,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",645,1987,575077,44.63,9.77,20047185,150901014,262.4,"Manhattan"
"GRAMERCY","R9-CONDOMINIUM",53,1955,40279,44.13,11.44,1316720,9e+06,223.44,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",24,1913,30260,42.44,13.65,871185,5422993,179.21,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",23,1956,8053,42.44,13.65,231846,1528992,189.87,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",51,1909,61406,42.44,13.65,1767879,13333001,217.13,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",95,2004,87310,50.49,13.78,3205150,21230013,243.16,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",11,1920,36270,34.27,12.82,777992,5575770,153.73,"Manhattan"
"GRAMERCY","R9-CONDOMINIUM",40,1930,22300,37.43,12.17,563298,3432000,153.9,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",25,1920,53181,38.97,12.87,1388025,10499002,197.42,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",29,1920,25354,44.35,12.47,808286,4556654,179.72,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",12,2006,23122,44.35,12.47,737130,5550000,240.03,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",52,1984,65112,39.94,13.89,1696167,12820997,196.91,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",53,1987,55715,34.97,10.74,1349975,9989001,179.29,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",71,1988,77154,37.12,10.28,2070813,15237997,197.5,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",15,1920,14000,37.86,10.21,387100,2930000,209.29,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",79,1988,71011,46.17,12.09,2420055,18196001,256.24,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",330,1961,270870,39.72,11.03,7771260,58748990,216.89,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",28,2002,38960,40.8,11.9,1125944,8505000,218.3,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",78,1963,45116,35.97,10.76,1137375,8392006,186.01,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",101,2006,136474,46.35,11.25,4790237,36011001,263.87,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",109,1924,158571,35.2,11.4,3773990,27912001,176.02,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",176,1960,128571,35.2,11.4,3059990,22630999,176.02,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",43,1924,51562,43.56,14.85,1480345,11151001,216.26,"Manhattan"
"GRAMERCY","R2-CONDOMINIUM",8,1920,10036,28.96,10.54,184864,1386000,138.1,"Manhattan"
"GRAMERCY","R2-CONDOMINIUM",8,1920,8700,28.96,10.54,160254,1201000,138.05,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",32,1915,51136,42.6,10.84,1624080,12252001,239.6,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",127,1901,174042,41.83,12.79,5054180,38150999,219.21,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",13,1948,30116,38.15,10.72,826081,4785004,158.89,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",64,1920,81685,37.58,12.88,2017619,12539999,153.52,"Manhattan"
"GRAMERCY","R9-CONDOMINIUM",329,1931,321079,35.07,9.83,8104034,59950000,186.71,"Manhattan"
"GRAMERCY","R4-CONDOMINIUM",43,1965,29535,33.24,9.42,703523,4543013,153.82,"Manhattan"
"GRAMERCY","RR-CONDOMINIUM",49,2006,60117,39.94,13.89,1566048,11837000,196.9,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",80,2001,79132,43.39,11.84,2496614,18810001,237.7,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",30,1925,41297,33.69,11.3,924640,6863994,166.21,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",25,1983,27950,37.55,12.9,688968,5064000,181.18,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",165,1990,198838,41.89,12.01,5941280,44842997,225.53,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",191,2007,222784,46.99,12.9,7594706,57068992,256.16,"Manhattan"
"MURRAY HILL","R9-CONDOMINIUM",44,1960,23653,35.84,9.22,629643,4651000,196.63,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",118,1963,123404,35.97,10.76,3111015,22954002,186.01,"Manhattan"
"MURRAY HILL","R4-CONDOMINIUM",234,1988,235948,38.49,10.85,6521603,49345997,209.14,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",9,1910,7335,35.84,9.22,195257,1447999,197.41,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",15,1910,20425,34.65,12.14,459766,3404001,166.66,"Manhattan"
"KIPS BAY","R9-CONDOMINIUM",98,1905,65393,35.88,6.92,1893781,13976000,213.72,"Manhattan"
"KIPS BAY","R9-CONDOMINIUM",36,1905,49157,36.13,8.66,1350342,9960000,202.62,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",207,2007,233744,48.32,12.58,8354010,62671008,268.12,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",128,1956,125776,33.52,9.98,2960768,21986993,174.81,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",1121,1962,1171064,34.29,11.94,26177463,149834719,127.95,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",205,1961,194733,33.52,9.98,4584015,34041006,174.81,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",818,1986,842317,43.48,14.98,24006034,150700011,178.91,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",118,1984,119395,38.49,10.85,3300078,24970015,209.14,"Manhattan"
"KIPS BAY","R9-CONDOMINIUM",586,1967,605018,37.14,13.54,14278425,105058000,173.64,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",485,1984,508026,35.84,9.24,13513492,99811929,196.47,"Manhattan"
"KIPS BAY","R4-CONDOMINIUM",411,1989,510770,39.39,12.56,13703959,103622004,202.87,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",445,1927,328716,47.77,14.04,11087590,83270992,253.32,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",212,1968,223307,39.64,11.04,6386580,48284003,216.22,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",50,1982,96492,35.63,10.2,2453792,18132014,187.91,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",65,1926,74422,35.81,10.71,1867992,13797999,185.4,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",340,1987,494266,42.69,12.7,14823038,111813001,226.22,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",247,1986,399221,40.3,14.68,10228042,77286005,193.59,"Manhattan"
"MIDTOWN WEST","R9-CONDOMINIUM",38,1916,43765,35,11.16,1043088,7721000,176.42,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",33,1923,32796,38.06,8.85,957971,6870000,209.48,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",35,1922,88288,35.88,12.05,2103903,15526997,175.87,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",103,1926,121921,39.8,12.43,3336978,23760039,194.88,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",183,1930,187345,47.28,14.51,6139296,46124996,246.2,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",420,1930,340000,42.1,11.19,10509400,73480085,216.12,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",79,1950,78236,37.6,12.86,1935559,14225999,181.83,"Manhattan"
"MIDTOWN WEST","R9-CONDOMINIUM",34,1912,35328,31.94,10.61,753546,5618000,159.02,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",80,1918,87821,37.6,12.86,2172692,15969000,181.84,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",218,2006,293691,42.19,13.22,8508228,64203002,218.61,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",137,2005,165323,46.22,13.7,5376304,40422990,244.51,"Manhattan"
"MIDTOWN WEST","R9-CONDOMINIUM",129,1916,128513,32.28,9.51,2926241,21786000,169.52,"Manhattan"
"MIDTOWN WEST","RR-CONDOMINIUM",90,2003,73690,47.93,8.98,2870000,20241000,274.68,"Manhattan"
"MIDTOWN WEST","RR-CONDOMINIUM",304,2003,268626,47.31,12.37,9385792,66195000,246.42,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",108,2002,210177,47.31,12.37,7343585,55094999,262.14,"Manhattan"
"MIDTOWN WEST","RR-CONDOMINIUM",484,1987,538783,39.56,15.05,13203000,93512000,173.56,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",528,2004,604403,44.26,10.95,20132664,151578964,250.79,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",122,2007,125813,46.22,13.7,4091439,30763001,244.51,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",704,1989,551052,43.34,12.93,16757492,126251989,229.11,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",215,2005,249339,46.22,13.7,8108505,60965998,244.51,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",65,1942,54785,31.23,7.35,1308266,9768001,178.3,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",65,1947,54655,31.23,7.35,1305162,9745001,178.3,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",66,2005,56935,42.38,11.87,1737087,13105995,230.19,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",576,1931,609127,40.7,12.25,17329663,130907993,214.91,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",595,1978,706825,46.37,11.18,24873171,186988005,264.55,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",261,1982,263995,40.3,14.68,6763552,51106994,193.59,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",296,1987,314941,45.08,10.72,10821372,81431008,258.56,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",20,1987,15764,42,11.99,473078,3569999,226.47,"Manhattan"
"MIDTOWN WEST","R9-CONDOMINIUM",188,1940,158478,40.28,10.79,4673516,35314000,222.83,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",165,1955,377444,41.89,11.36,11523365,86975006,230.43,"Manhattan"
"MIDTOWN WEST","R4-CONDOMINIUM",65,1955,217897,47.28,11.18,7866082,58806997,269.88,"Manhattan"
"CLINTON","RR-CONDOMINIUM",262,2000,245000,40.28,10.79,7225050,54595000,222.84,"Manhattan"
"CLINTON","R4-CONDOMINIUM",58,2007,54027,44.52,11.49,1784512,13434003,248.65,"Manhattan"
"CLINTON","R4-CONDOMINIUM",21,1920,26041,37.16,10.83,685660,4675009,179.52,"Manhattan"
"CLINTON","R4-CONDOMINIUM",34,1986,28692,32.23,10.46,624625,4650999,162.1,"Manhattan"
"CLINTON","R4-CONDOMINIUM",28,1920,20655,34.07,11.01,476304,3530998,170.95,"Manhattan"
"CLINTON","R9-CONDOMINIUM",16,1901,7812,33.61,13.48,157255,1168000,149.51,"Manhattan"
"CLINTON","R4-CONDOMINIUM",34,1986,30457,32.23,6.32,789141,5876000,192.93,"Manhattan"
"CLINTON","R4-CONDOMINIUM",83,2007,169323,61.11,11.8,8349318,62080991,366.64,"Manhattan"
"CLINTON","R4-CONDOMINIUM",95,2008,125313,40.28,10.79,3695481,27976996,223.26,"Manhattan"
"CLINTON","R4-CONDOMINIUM",29,1986,32906,32.23,6.32,852594,6347998,192.91,"Manhattan"
"CLINTON","R4-CONDOMINIUM",27,1928,56495,43.25,12.25,1751345,10999974,194.71,"Manhattan"
"CLINTON","R9-CONDOMINIUM",98,1986,97365,39.87,12.85,2630803,19885000,204.23,"Manhattan"
"CLINTON","R4-CONDOMINIUM",16,1910,52794,33.87,9.98,1261249,9360001,177.29,"Manhattan"
"CLINTON","R4-CONDOMINIUM",67,2008,96337,40.28,10.79,2840978,21466995,222.83,"Manhattan"
"CLINTON","RR-CONDOMINIUM",25,2001,22475,8.32,3.33,112200,615000,27.36,"Manhattan"
"CLINTON","R4-CONDOMINIUM",311,1988,257680,40.28,10.79,7598983,57420002,222.83,"Manhattan"
"CLINTON","R9-CONDOMINIUM",160,1912,208598,33.32,9.22,5027211,37349000,179.05,"Manhattan"
"CLINTON","RR-CONDOMINIUM",72,2005,91749,7.4,3.88,323000,1776000,19.36,"Manhattan"
"CLINTON","R4-CONDOMINIUM",151,2003,116904,40.28,10.79,3447499,22770014,194.78,"Manhattan"
"CLINTON","R4-CONDOMINIUM",45,2006,40594,37.16,9.07,1140285,7282013,179.39,"Manhattan"
"CLINTON","R4-CONDOMINIUM",108,2008,73634,41.01,11.18,2196502,16588999,225.29,"Manhattan"
"CLINTON","RR-CONDOMINIUM",58,2005,36933,35.52,9.45,963000,6683000,180.95,"Manhattan"
"CLINTON","RR-CONDOMINIUM",233,2005,236187,35.52,9.45,6156000,42723000,180.89,"Manhattan"
"CLINTON","RR-CONDOMINIUM",281,2005,300239,32.9,8.96,7186000,39901999,132.9,"Manhattan"
"CLINTON","RR-CONDOMINIUM",68,2005,41598,41.2,10.67,1269987,8963000,215.47,"Manhattan"
"CLINTON","RR-CONDOMINIUM",27,1910,31779,6.77,1.69,161250,1200000,37.76,"Manhattan"
"CLINTON","RR-CONDOMINIUM",222,2009,620611,37.52,11.03,16439986,102711025,165.5,"Manhattan"
"CLINTON","R9-CONDOMINIUM",83,2005,80136,30.03,8.87,1695678,12104000,151.04,"Manhattan"
"CLINTON","R9-CONDOMINIUM",107,2005,75593,15.6,6.24,707400,4567000,60.42,"Manhattan"
"CLINTON","R9-CONDOMINIUM",1171,2005,994310,33.35,10.54,22680212,168488000,169.45,"Manhattan"
"CLINTON","R4-CONDOMINIUM",478,2005,467344,39.71,9.31,14207257,106039889,226.9,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",166,1982,202235,40.28,10.79,5963910,45065001,222.83,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",158,1960,415113,53.14,11.91,17115109,98670004,237.69,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",94,1930,125900,35.81,7.28,3591927,26532006,210.74,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",120,1987,146748,44.11,12.85,4587342,34542996,235.39,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",202,2005,730068,56.59,13.85,31203106,232529002,318.5,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",425,1932,598316,44.26,10.95,19929906,150000023,250.7,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",277,1981,276911,39.64,11.04,7919655,59875000,216.22,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",549,1979,591835,50.38,10.56,23566869,113235845,191.33,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",655,1970,806195,44.26,10.95,26854356,202186010,250.79,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",53,1999,146262,46.22,13.7,4756441,33220008,227.13,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",11,1983,9335,34.85,6.67,263061,1946998,208.57,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",65,1911,87712,47.4,15.09,2833975,18873983,215.18,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",54,1939,40545,35.59,9.77,1046872,6237003,153.83,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",26,1986,58898,46.56,14.68,1877668,13310000,225.98,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",175,1983,154328,42,11.99,4631383,29256726,189.57,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",142,1926,114510,35.28,11.81,2687550,18810000,164.27,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",132,1928,139400,39.15,12.7,3687130,27884001,200.03,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",158,1924,239122,45.14,15.42,7106706,53473998,223.63,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",62,1900,57627,33.42,10.51,1320234,8855006,153.66,"Manhattan"
"UPPER WEST SIDE (59-79)","R2-CONDOMINIUM",13,1910,8625,37.96,7.93,259009,1507003,174.72,"Manhattan"
"UPPER WEST SIDE (59-79)","R2-CONDOMINIUM",13,1900,6641,37.96,7.93,199429,1509997,227.37,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",133,1998,239035,46.59,11.69,8342322,54230013,226.87,"Manhattan"
"UPPER WEST SIDE (59-79)","RR-CONDOMINIUM",498,1986,441871,45.91,12.13,14925000,105410000,238.55,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",222,1988,269253,41.3,13.53,7477156,56460998,209.69,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",347,1989,442560,45.08,10.72,15206362,114428002,258.56,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",143,1995,271808,44.53,14.06,8281990,62345995,229.38,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",199,1997,320750,44.26,11.2,10603995,76229980,237.66,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",75,1985,68609,44.26,10.95,2285365,17205997,250.78,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",281,1992,325921,48.6,12.56,11746193,77439913,237.6,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",680,1965,665236,42.47,16.43,17322746,126500004,190.16,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",161,1987,239435,42.47,16.43,6234887,47037994,196.45,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",83,1903,95930,43.02,13.58,2824180,21176538,220.75,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",272,1977,218992,39.52,12.9,5829567,44077000,201.27,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",87,1926,119000,35.28,11.81,2792930,20653000,173.55,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",122,1989,179380,37.4,12.36,4491675,33028999,184.13,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",55,1940,43578,35.32,11.23,1049794,7761992,178.12,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",35,1900,36236,33.63,11.27,810237,6016000,166.02,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",66,1905,46142,33.05,9.96,1065419,7919998,171.64,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",17,2007,45900,47.48,13.07,1579419,11865001,258.5,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",34,1913,50284,37.21,11.95,1270174,7732972,153.79,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",62,1952,70100,32.7,10.76,1537994,11441000,163.21,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",8,1900,13182,36.81,8.77,369623,2728001,206.95,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",132,1925,181976,34.35,10.98,4252780,31507000,173.14,"Manhattan"
"UPPER WEST SIDE (59-79)","R2-CONDOMINIUM",28,1900,14940,32.43,8.58,356319,2652005,177.51,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",23,1988,47376,38.07,10.37,1312315,9932997,209.66,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",93,1987,68225,42.83,10.72,2190705,16523996,242.2,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",98,1930,135531,38.86,11.97,3644429,22879996,168.82,"Manhattan"
"UPPER WEST SIDE (59-79)","RR-CONDOMINIUM",248,1991,264070,40.42,13.91,7002000,49558000,187.67,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",132,1991,92422,42.17,14.76,2533000,17928000,193.98,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",1,1991,945,42.33,14.81,26000,184000,194.71,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",172,2005,213067,40.28,10.79,6283346,47479019,222.84,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",186,2007,259288,40.28,10.79,7646403,57777990,222.83,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",80,2004,86299,40.28,10.79,2544958,19230003,222.83,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",40,2007,61344,38.72,9.93,1766094,13360000,217.79,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",508,1963,471630,31.45,11.73,9300212,60170000,127.58,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",452,1965,493268,33.39,11.73,10684185,62920000,127.56,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",454,1963,452258,31.63,11.73,8999408,57750000,127.69,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",561,1964,640079,33.26,12.23,13460862,81620000,127.52,"Manhattan"
"UPPER WEST SIDE (59-79)","R9-CONDOMINIUM",484,1965,474360,31.41,11.73,9337131,60500000,127.54,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",170,2006,223560,44.26,11.2,7390894,55645997,248.91,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",53,1924,62164,25.83,6.56,1197900,3823588,61.51,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",58,1986,58000,37.99,8.88,1688380,12778986,220.33,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",20,1912,47000,40.41,11.11,1377100,5611982,119.4,"Manhattan"
"UPPER WEST SIDE (59-79)","RR-CONDOMINIUM",196,2008,203946,45.7,11.38,6999427,52647000,258.14,"Manhattan"
"UPPER WEST SIDE (59-79)","R4-CONDOMINIUM",201,1991,265469,42.34,14.59,7366764,55398460,208.68,"Manhattan"
